"id_peserta","nama","nama_ayah","nama_ibu","nama_wali","id_pendidikan_ayah","nama_pendidikan_ayah","id_pendidikan_ibu","nama_pendidikan_ibu","id_pendidikan_wali","nama_pendidikan_wali","nama_penghasilan_ayah","id_penghasilan_ayah","nama_penghasilan_ibu","id_penghasilan_ibu","nama_penghasilan_wali","id_penghasilan_wali"
176,Denney Nassau,Ken,Colly,,3,Sekolah Menengah Atas,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
177,Victoir Averall,Jabez,Andy,,2,Sekolah Menengah Pertama,5,Sarjana,,,"10 Juta - 20 Juta",4,"100 Juta - 500 Juta",7,,
178,Adelice Weldrake,Cecil,Orly,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
179,Deedee Madgett,Mead,Karee,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"100 Juta - 500 Juta",7,"10 Juta - 20 Juta",4,,
180,Viva Mallen,Sherwynd,Josey,,1,Sekolah Dasar,4,Diploma,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
181,Shirline Brunetti,Decca,Adiana,,6,Magister,1,Sekolah Dasar,,,"20 Juta - 50 Juta",5,"500 Juta - 1 Miliar",8,,
182,Sunshine Watmore,Pattin,Elita,,2,Sekolah Menengah Pertama,5,Sarjana,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
183,Haywood Croker,Tyrus,Paola,,2,Sekolah Menengah Pertama,5,Sarjana,,,"500 Juta - 1 Miliar",8,"500 Juta - 1 Miliar",8,,
184,Lyn Paylor,Bert,Lindsay,,7,Doktoral,6,Magister,,,"20 Juta - 50 Juta",5,"5 Juta - 10 Juta",3,,
185,Shandra Hoggan,Rock,Kyle,,2,Sekolah Menengah Pertama,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
186,Jacinthe McLenaghan,Kean,Edna,,2,Sekolah Menengah Pertama,3,Sekolah Menengah Atas,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
187,Pail Andreu,Franklin,Jacquetta,,2,Sekolah Menengah Pertama,6,Magister,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
188,Irina Vasenkov,Cole,Wenda,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"100 Juta - 500 Juta",7,,
189,Davin Gissop,Clerc,Valerie,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
190,Pearle Petrozzi,Arnoldo,Myrtice,,2,Sekolah Menengah Pertama,6,Magister,,,"50 Juta - 100 Juta",6,"50 Juta - 100 Juta",6,,
191,Maximilien Bramwich,Haywood,Harriot,,1,Sekolah Dasar,5,Sarjana,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
192,Matti Borell,Maxim,Aeriela,,6,Magister,4,Diploma,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
193,Nathan Lowdwell,Cad,Jena,,7,Doktoral,5,Sarjana,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
194,Debbi Durman,Eduardo,Gracie,,2,Sekolah Menengah Pertama,7,Doktoral,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
195,Ramona McNellis,Carling,Fey,,4,Diploma,1,Sekolah Dasar,,,"20 Juta - 50 Juta",5,"10 Juta - 20 Juta",4,,
196,Merola Poxson,Fidel,Aleece,,1,Sekolah Dasar,1,Sekolah Dasar,,,"5 Juta - 10 Juta",3,"10 Juta - 20 Juta",4,,
197,Mercy Rubica,Kinsley,Rachel,,7,Doktoral,7,Doktoral,,,"50 Juta - 100 Juta",6,"1 Juta - 5 Juta",2,,
198,Shoshanna Mulliner,Daren,Jenelle,,3,Sekolah Menengah Atas,5,Sarjana,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
199,Gardiner Clorley,Felizio,Josey,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"100 Juta - 500 Juta",7,"5 Juta - 10 Juta",3,,
200,Marie-ann Twigley,Ebenezer,Diahann,,6,Magister,2,Sekolah Menengah Pertama,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
201,Harlin Freer,Ragnar,Heda,,1,Sekolah Dasar,7,Doktoral,,,"50 Juta - 100 Juta",6,"20 Juta - 50 Juta",5,,
202,Kiele Yakovliv,Mead,Phaedra,,7,Doktoral,3,Sekolah Menengah Atas,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
203,Margalo Linke,Hartwell,Kora,,3,Sekolah Menengah Atas,6,Magister,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
204,Shelby MacMaykin,Syd,Ebba,,7,Doktoral,2,Sekolah Menengah Pertama,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
205,Kitti Verlinden,Jerald,Glynis,,6,Magister,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"50 Juta - 100 Juta",6,,
206,Angelita Pirot,Thaddus,Edithe,,7,Doktoral,7,Doktoral,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
207,Kirby Cleary,Nobe,Roxanna,,2,Sekolah Menengah Pertama,5,Sarjana,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
208,Levi Kropach,Araldo,Maighdiln,,1,Sekolah Dasar,1,Sekolah Dasar,,,"100 Juta - 500 Juta",7,"10 Juta - 20 Juta",4,,
209,Dewie Saint,Sergent,Stoddard,,6,Magister,6,Magister,,,"20 Juta - 50 Juta",5,"20 Juta - 50 Juta",5,,
210,Jesus Yitzhak,Marshal,Lexy,,5,Sarjana,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"100 Juta - 500 Juta",7,,
211,Kenny Spurritt,Wallache,Xaviera,,2,Sekolah Menengah Pertama,2,Sekolah Menengah Pertama,,,"100 Juta - 500 Juta",7,"10 Juta - 20 Juta",4,,
212,Maudie Tilford,Egbert,Pierrette,,6,Magister,5,Sarjana,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
213,Nicolette Szymonowicz,Raimondo,Joice,,1,Sekolah Dasar,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
214,Kennan Child,Cris,Latisha,,1,Sekolah Dasar,1,Sekolah Dasar,,,"5 Juta - 10 Juta",3,"0 - 1 Juta",1,,
215,Hewie Mallabund,Turner,Tandie,,4,Diploma,6,Magister,,,"1 Juta - 5 Juta",2,"0 - 1 Juta",1,,
216,Myrwyn Drinkel,Leland,Chelsie,,1,Sekolah Dasar,6,Magister,,,"10 Juta - 20 Juta",4,"1 Juta - 5 Juta",2,,
217,Agnese Biddlestone,Bernie,Dorian,,6,Magister,5,Sarjana,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
218,Patricio Goodliff,Ernest,Madelon,,2,Sekolah Menengah Pertama,5,Sarjana,,,"500 Juta - 1 Miliar",8,"500 Juta - 1 Miliar",8,,
219,Jobi Scobbie,Lind,Noreen,,6,Magister,4,Diploma,,,"0 - 1 Juta",1,"50 Juta - 100 Juta",6,,
220,Nerissa Guerrero,Troy,Leanna,,6,Magister,6,Magister,,,"1 Juta - 5 Juta",2,"100 Juta - 500 Juta",7,,
221,Rick Bragge,Ignaz,Wilhelmina,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
222,Larine Tabourin,Asa,Luci,,6,Magister,5,Sarjana,,,"5 Juta - 10 Juta",3,"1 Juta - 5 Juta",2,,
223,Cherye Aupol,Paten,Vivyan,,3,Sekolah Menengah Atas,7,Doktoral,,,"100 Juta - 500 Juta",7,"500 Juta - 1 Miliar",8,,
224,Elbertine Zarfai,Tobe,Bethina,,4,Diploma,7,Doktoral,,,"100 Juta - 500 Juta",7,"50 Juta - 100 Juta",6,,
225,Gena Furnival,Merill,Marlena,,5,Sarjana,5,Sarjana,,,"1 Juta - 5 Juta",2,"100 Juta - 500 Juta",7,,
226,Auberon Lambeth,Osgood,Filide,,7,Doktoral,3,Sekolah Menengah Atas,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
227,Cassondra Bittlestone,Bartie,Taryn,,1,Sekolah Dasar,6,Magister,,,"500 Juta - 1 Miliar",8,"0 - 1 Juta",1,,
228,Kaitlin Simison,Robers,Trista,,1,Sekolah Dasar,6,Magister,,,"100 Juta - 500 Juta",7,"10 Juta - 20 Juta",4,,
229,Felipe Sherrock,Rickert,Janith,,3,Sekolah Menengah Atas,5,Sarjana,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
230,Ange Turvie,Antonius,Lisha,,7,Doktoral,5,Sarjana,,,"5 Juta - 10 Juta",3,"5 Juta - 10 Juta",3,,
231,Jamie Huckerby,Troy,Liv,,6,Magister,5,Sarjana,,,"500 Juta - 1 Miliar",8,"10 Juta - 20 Juta",4,,
232,Merrill Coper,Cullen,Dena,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"100 Juta - 500 Juta",7,"5 Juta - 10 Juta",3,,
233,Isabelle Doyle,Judah,Roselle,,5,Sarjana,6,Magister,,,"10 Juta - 20 Juta",4,"10 Juta - 20 Juta",4,,
234,Roselle Tash,Vin,Juline,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
235,Aubine Erskine Sandys,Emmett,Adey,,5,Sarjana,7,Doktoral,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
236,Oswell Crilley,Flory,Nolana,,6,Magister,1,Sekolah Dasar,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
237,April Britton,Wade,Starr,,4,Diploma,5,Sarjana,,,"5 Juta - 10 Juta",3,"1 Juta - 5 Juta",2,,
238,Rana Cranstone,Torin,Pier,,4,Diploma,5,Sarjana,,,"100 Juta - 500 Juta",7,"100 Juta - 500 Juta",7,,
239,Patrice Janda,Leonhard,Selena,,5,Sarjana,6,Magister,,,"1 Juta - 5 Juta",2,"50 Juta - 100 Juta",6,,
240,Cordell Neggrini,Levin,Idette,,3,Sekolah Menengah Atas,5,Sarjana,,,"1 Juta - 5 Juta",2,"100 Juta - 500 Juta",7,,
241,Phyllys Heckner,Caryl,Mamie,,7,Doktoral,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"20 Juta - 50 Juta",5,,
242,Dari Mollatt,Byrom,Kristyn,,2,Sekolah Menengah Pertama,3,Sekolah Menengah Atas,,,"20 Juta - 50 Juta",5,"10 Juta - 20 Juta",4,,
243,Collen Adamovitch,Paulo,Emeline,,6,Magister,4,Diploma,,,"20 Juta - 50 Juta",5,"50 Juta - 100 Juta",6,,
244,Tammie Bickerstaff,Alec,Rosana,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"5 Juta - 10 Juta",3,"1 Juta - 5 Juta",2,,
245,Donny Elfitt,Emilio,Golda,,4,Diploma,3,Sekolah Menengah Atas,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
246,Moritz Sanz,Taddeusz,Dyanne,,7,Doktoral,2,Sekolah Menengah Pertama,,,"100 Juta - 500 Juta",7,"500 Juta - 1 Miliar",8,,
247,Luisa Francklin,Elbert,Paula,,6,Magister,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
248,Dolores Worrill,Ethan,Carol,,1,Sekolah Dasar,7,Doktoral,,,"10 Juta - 20 Juta",4,"10 Juta - 20 Juta",4,,
249,Ben Waldram,Hube,Judie,,1,Sekolah Dasar,1,Sekolah Dasar,,,"20 Juta - 50 Juta",5,"1 Juta - 5 Juta",2,,
250,Klarrisa Winslow,Sherman,Mada,,7,Doktoral,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"0 - 1 Juta",1,,
251,Isak Abel,Thibaud,Tedda,,4,Diploma,1,Sekolah Dasar,,,"0 - 1 Juta",1,"5 Juta - 10 Juta",3,,
252,Hunt Breagan,Ambrosius,Philipa,,3,Sekolah Menengah Atas,7,Doktoral,,,"100 Juta - 500 Juta",7,"1 Juta - 5 Juta",2,,
253,Marie-ann Wicks,Dario,Leann,,4,Diploma,7,Doktoral,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
254,Courtnay O' Dooley,Mickey,Phelia,,7,Doktoral,6,Magister,,,"0 - 1 Juta",1,"5 Juta - 10 Juta",3,,
255,Jaime Ansill,Gale,Edita,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"20 Juta - 50 Juta",5,"5 Juta - 10 Juta",3,,
256,Sheffy Matoshin,Brennen,Miranda,,4,Diploma,3,Sekolah Menengah Atas,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
257,Florencia Fitzsymonds,Sheff,Anthea,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"0 - 1 Juta",1,"1 Juta - 5 Juta",2,,
258,Minnnie Curless,Ware,Kaleena,,3,Sekolah Menengah Atas,4,Diploma,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
259,Jaclin Climpson,Hurlee,Neda,,6,Magister,5,Sarjana,,,"50 Juta - 100 Juta",6,"20 Juta - 50 Juta",5,,
260,Kristy McGarahan,Ricky,Maxy,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"20 Juta - 50 Juta",5,"500 Juta - 1 Miliar",8,,
261,Dave Borrie,Noll,Lani,,2,Sekolah Menengah Pertama,6,Magister,,,"10 Juta - 20 Juta",4,"500 Juta - 1 Miliar",8,,
262,Lindy Garred,Kingston,Kaitlin,,1,Sekolah Dasar,1,Sekolah Dasar,,,"0 - 1 Juta",1,"5 Juta - 10 Juta",3,,
263,Britta Clemenzi,Skippie,Dorothy,,5,Sarjana,7,Doktoral,,,"50 Juta - 100 Juta",6,"0 - 1 Juta",1,,
264,Codie Pau,Colby,Briana,,4,Diploma,7,Doktoral,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
265,Aubry Lipson,Duane,Adele,,7,Doktoral,1,Sekolah Dasar,,,"0 - 1 Juta",1,"1 Juta - 5 Juta",2,,
266,Tobias Cleve,Tait,Anastassia,,6,Magister,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
267,Tom Casewell,Augustine,Seana,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"0 - 1 Juta",1,"1 Juta - 5 Juta",2,,
268,Benny Garlic,Coleman,Kali,,2,Sekolah Menengah Pertama,6,Magister,,,"5 Juta - 10 Juta",3,"50 Juta - 100 Juta",6,,
269,Joane Elvin,Jeffie,Quinn,,7,Doktoral,1,Sekolah Dasar,,,"500 Juta - 1 Miliar",8,"10 Juta - 20 Juta",4,,
270,Lauryn Toller,Dion,Nesta,,2,Sekolah Menengah Pertama,6,Magister,,,"10 Juta - 20 Juta",4,"500 Juta - 1 Miliar",8,,
271,Wyatt Yashin,Tracie,Charlotte,,4,Diploma,4,Diploma,,,"5 Juta - 10 Juta",3,"50 Juta - 100 Juta",6,,
272,Jock Regenhardt,Berny,Ronny,,2,Sekolah Menengah Pertama,6,Magister,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
273,Lynnell Imlen,Farly,Seline,,4,Diploma,2,Sekolah Menengah Pertama,,,"10 Juta - 20 Juta",4,"50 Juta - 100 Juta",6,,
274,Terry McInally,Rabi,Tarah,,6,Magister,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
275,Wainwright Anthonies,Radcliffe,Marquita,,5,Sarjana,4,Diploma,,,"0 - 1 Juta",1,"50 Juta - 100 Juta",6,,
276,Roi Wiffler,Karney,Jo ann,,7,Doktoral,7,Doktoral,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
277,Lettie Laffranconi,Travis,Gerty,,6,Magister,3,Sekolah Menengah Atas,,,"5 Juta - 10 Juta",3,"1 Juta - 5 Juta",2,,
278,Blondell Mohring,Hillard,Timmy,,7,Doktoral,5,Sarjana,,,"500 Juta - 1 Miliar",8,"1 Juta - 5 Juta",2,,
279,Dasya Hammerson,Cassie,Norah,,7,Doktoral,5,Sarjana,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
280,Amalle Sabben,Alwyn,Tanya,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"50 Juta - 100 Juta",6,,
281,Vannie Broschke,Remington,Nelia,,6,Magister,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"20 Juta - 50 Juta",5,,
282,Amie Greep,Bevan,Rory,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"20 Juta - 50 Juta",5,,
283,Lew Gorring,Teodorico,Cheryl,,1,Sekolah Dasar,5,Sarjana,,,"20 Juta - 50 Juta",5,"0 - 1 Juta",1,,
284,Salem Agnew,Fair,Daisey,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"10 Juta - 20 Juta",4,"500 Juta - 1 Miliar",8,,
285,Pippa Verity,Broderick,Marian,,7,Doktoral,6,Magister,,,"10 Juta - 20 Juta",4,"50 Juta - 100 Juta",6,,
286,Murdock Wanden,Sammy,Penny,,6,Magister,4,Diploma,,,"1 Juta - 5 Juta",2,"10 Juta - 20 Juta",4,,
287,Matt Danis,Alex,Kalie,,1,Sekolah Dasar,4,Diploma,,,"50 Juta - 100 Juta",6,"100 Juta - 500 Juta",7,,
288,Silvana McCrudden,Zebedee,Nataline,,7,Doktoral,1,Sekolah Dasar,,,"0 - 1 Juta",1,"5 Juta - 10 Juta",3,,
289,Candide Pietzner,Elvis,Erena,,3,Sekolah Menengah Atas,4,Diploma,,,"10 Juta - 20 Juta",4,"100 Juta - 500 Juta",7,,
290,Farly Main,Olav,Fredia,,1,Sekolah Dasar,7,Doktoral,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
291,Jordan Gratton,Jermaine,Bonnie,,1,Sekolah Dasar,5,Sarjana,,,"20 Juta - 50 Juta",5,"10 Juta - 20 Juta",4,,
292,Aryn Karsh,Isidoro,Merlina,,3,Sekolah Menengah Atas,5,Sarjana,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
293,Vaughan Ryder,Nichols,Fifine,,6,Magister,1,Sekolah Dasar,,,"1 Juta - 5 Juta",2,"0 - 1 Juta",1,,
294,Fawne Imos,Bald,Maris,,4,Diploma,4,Diploma,,,"50 Juta - 100 Juta",6,"500 Juta - 1 Miliar",8,,
295,Frasier MacCoughan,Pate,Arlie,,6,Magister,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"0 - 1 Juta",1,,
296,Dela Bellchamber,Patrizius,Claudelle,,3,Sekolah Menengah Atas,3,Sekolah Menengah Atas,,,"20 Juta - 50 Juta",5,"500 Juta - 1 Miliar",8,,
297,Emili Altree,Jeffy,Carri,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"20 Juta - 50 Juta",5,"5 Juta - 10 Juta",3,,
298,Calvin Osbourn,Abdul,Jewell,,2,Sekolah Menengah Pertama,4,Diploma,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
299,Sydelle Leggis,Raynor,Liva,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"0 - 1 Juta",1,"50 Juta - 100 Juta",6,,
300,Maryanne Fairclough,Barthel,Leela,,4,Diploma,4,Diploma,,,"500 Juta - 1 Miliar",8,"0 - 1 Juta",1,,
301,Patricio Frederick,Shurlock,Kellina,,6,Magister,6,Magister,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
302,Devina Weale,Osmond,Kristy,,7,Doktoral,2,Sekolah Menengah Pertama,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
303,Theodoric Daud,Oren,Lurlene,,7,Doktoral,2,Sekolah Menengah Pertama,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
304,Joellen Howels,Tally,Kali,,1,Sekolah Dasar,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"500 Juta - 1 Miliar",8,,
305,Jammal O' Dornan,Olenolin,Florida,,3,Sekolah Menengah Atas,4,Diploma,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
306,Ludovika Koenen,Townie,Lydie,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
307,Rustin Brandrick,Lorrie,Margie,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"100 Juta - 500 Juta",7,"5 Juta - 10 Juta",3,,
308,Gill Eilles,Brion,Bab,,6,Magister,4,Diploma,,,"0 - 1 Juta",1,"5 Juta - 10 Juta",3,,
309,Ekaterina Lukacs,Eldridge,Flore,,6,Magister,4,Diploma,,,"50 Juta - 100 Juta",6,"100 Juta - 500 Juta",7,,
310,Jamil Bagshawe,Charley,Kristina,,2,Sekolah Menengah Pertama,7,Doktoral,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
311,Avivah Cowoppe,Gearalt,Veradis,,5,Sarjana,4,Diploma,,,"1 Juta - 5 Juta",2,"100 Juta - 500 Juta",7,,
312,Carma Slopier,Lief,Enriqueta,,5,Sarjana,5,Sarjana,,,"500 Juta - 1 Miliar",8,"500 Juta - 1 Miliar",8,,
313,Teresina Comino,Prinz,Merilyn,,1,Sekolah Dasar,7,Doktoral,,,"100 Juta - 500 Juta",7,"10 Juta - 20 Juta",4,,
314,Sheila-kathryn Ruppel,Dani,Karin,,6,Magister,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"500 Juta - 1 Miliar",8,,
315,Rafi Elvy,Nev,Ailee,,7,Doktoral,3,Sekolah Menengah Atas,,,"100 Juta - 500 Juta",7,"5 Juta - 10 Juta",3,,
316,Ynes Hodge,Burt,Farrah,,2,Sekolah Menengah Pertama,4,Diploma,,,"50 Juta - 100 Juta",6,"50 Juta - 100 Juta",6,,
317,Meggi Darrigrand,Cori,Chelsy,,7,Doktoral,4,Diploma,,,"20 Juta - 50 Juta",5,"100 Juta - 500 Juta",7,,
318,Lanette Tomaskunas,Rex,Myrilla,,2,Sekolah Menengah Pertama,4,Diploma,,,"50 Juta - 100 Juta",6,"1 Juta - 5 Juta",2,,
319,Cob Stile,Smitty,Jobie,,6,Magister,6,Magister,,,"500 Juta - 1 Miliar",8,"100 Juta - 500 Juta",7,,
320,Parke Buffy,Lorrie,Inger,,5,Sarjana,5,Sarjana,,,"1 Juta - 5 Juta",2,"50 Juta - 100 Juta",6,,
321,Lock Filkin,Kit,Corabella,,5,Sarjana,7,Doktoral,,,"1 Juta - 5 Juta",2,"0 - 1 Juta",1,,
322,Raimund Melmar,Spense,Rhody,,2,Sekolah Menengah Pertama,4,Diploma,,,"100 Juta - 500 Juta",7,"500 Juta - 1 Miliar",8,,
323,Marlon Gough,Che,Nadia,,7,Doktoral,5,Sarjana,,,"1 Juta - 5 Juta",2,"5 Juta - 10 Juta",3,,
324,Wenonah Bradick,Lezley,Sileas,,4,Diploma,5,Sarjana,,,"50 Juta - 100 Juta",6,"100 Juta - 500 Juta",7,,
325,Fawne Burnep,Mar,Genni,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"1 Juta - 5 Juta",2,"5 Juta - 10 Juta",3,,
326,Sollie Kilgrew,Udall,Timmy,,5,Sarjana,3,Sekolah Menengah Atas,,,"1 Juta - 5 Juta",2,"50 Juta - 100 Juta",6,,
327,Con Sparrow,Bevin,Veronica,,7,Doktoral,1,Sekolah Dasar,,,"5 Juta - 10 Juta",3,"50 Juta - 100 Juta",6,,
328,Hanni Singleton,Harris,Doti,,2,Sekolah Menengah Pertama,6,Magister,,,"10 Juta - 20 Juta",4,"1 Juta - 5 Juta",2,,
329,Jacklyn Drewitt,Gordy,Vikki,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"500 Juta - 1 Miliar",8,"20 Juta - 50 Juta",5,,
330,Noella Purchase,Taddeusz,Roanna,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
331,Lenette Lacroutz,Nikolai,Laurene,,1,Sekolah Dasar,7,Doktoral,,,"5 Juta - 10 Juta",3,"10 Juta - 20 Juta",4,,
332,Gwyn Bruffell,Maurise,Freddi,,7,Doktoral,3,Sekolah Menengah Atas,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
333,Suzy Querree,Cale,Hedy,,5,Sarjana,4,Diploma,,,"500 Juta - 1 Miliar",8,"500 Juta - 1 Miliar",8,,
334,Andreas Olliver,Forester,Jonie,,4,Diploma,1,Sekolah Dasar,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
335,Germana Cicchinelli,Hunter,Cordi,,7,Doktoral,2,Sekolah Menengah Pertama,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
336,Raddie Enterlein,Isaak,Constantia,,1,Sekolah Dasar,7,Doktoral,,,"1 Juta - 5 Juta",2,"20 Juta - 50 Juta",5,,
337,Cullan Hazael,Pip,Shanda,,3,Sekolah Menengah Atas,7,Doktoral,,,"0 - 1 Juta",1,"50 Juta - 100 Juta",6,,
338,Ethelyn Borrott,Eddie,Selia,,6,Magister,7,Doktoral,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
339,Colin Shervington,Emmanuel,Carey,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"5 Juta - 10 Juta",3,"50 Juta - 100 Juta",6,,
340,Ronald Stegel,Johnny,Cherilyn,,2,Sekolah Menengah Pertama,5,Sarjana,,,"100 Juta - 500 Juta",7,"1 Juta - 5 Juta",2,,
341,Tabina Kimmince,Errick,Blinny,,6,Magister,4,Diploma,,,"20 Juta - 50 Juta",5,"50 Juta - 100 Juta",6,,
342,Susanne Bachellier,Aristotle,Pollyanna,,2,Sekolah Menengah Pertama,5,Sarjana,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
343,Margaretha Gibb,Mikkel,Fran,,3,Sekolah Menengah Atas,7,Doktoral,,,"5 Juta - 10 Juta",3,"5 Juta - 10 Juta",3,,
344,Kate Keattch,Frannie,Kristy,,5,Sarjana,7,Doktoral,,,"1 Juta - 5 Juta",2,"50 Juta - 100 Juta",6,,
345,Ursola De Cruce,Cob,Fern,,4,Diploma,7,Doktoral,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
346,Ashli Dodwell,Feliks,Delora,,7,Doktoral,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"1 Juta - 5 Juta",2,,
347,Tarrance Beckford,Ramsay,Roselin,,7,Doktoral,7,Doktoral,,,"20 Juta - 50 Juta",5,"50 Juta - 100 Juta",6,,
348,Deanna Goare,Baird,Rica,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"0 - 1 Juta",1,,
349,Rooney Stalley,Ad,Erma,,3,Sekolah Menengah Atas,5,Sarjana,,,"5 Juta - 10 Juta",3,"100 Juta - 500 Juta",7,,
350,Junie Caiger,Lucias,Corrie,,6,Magister,6,Magister,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
351,Sherlock Withrop,Travis,Nari,,7,Doktoral,3,Sekolah Menengah Atas,,,"100 Juta - 500 Juta",7,"20 Juta - 50 Juta",5,,
